#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58495.05  15.618  0.390  0
58496.05  15.200  0.397  0
58497.05  14.799  0.390  0
58498.11  14.454  0.351  0
58499.04  14.151  0.351  0
58503.02  13.445  0.256  0
58505.92  13.257  0.031  0
58508.05  12.919  0.205  0
58510.01  12.990  0.244  0
58511.02  13.157  0.208  0
58512.00  13.038  0.240  0
58513.00  13.127  0.242  0
58513.99  13.116  0.238  0
58514.99  13.168  0.256  0
58518.06  13.149  0.181  0
58518.90  13.331  0.041  0
58523.04  13.683  0.276  0
58523.97  13.735  0.248  0
58524.96  13.708  0.249  0
58525.97  13.852  0.276  0
58526.97  13.873  0.224  0
58531.02  13.746  0.418  0
58535.96  14.086  0.042  0
58536.94  13.810  0.376  0
58539.94  14.170  0.030  0
58540.96  14.049  0.380  0
58542.94  14.235  0.306  0
58543.98  14.419  0.296  0
58544.98  14.400  0.356  0
58546.97  14.399  0.376  0
58552.95  14.629  0.318  0
58554.05  14.953  0.263  0
58554.95  14.824  0.385  0
58555.99  14.955  0.322  0
58557.95  14.946  0.439  0
58562.92  15.286  0.378  0
58566.01  15.332  0.318  0
58577.89  15.359  0.404  0
58580.88  15.922  0.303  0
58581.88  15.879  0.322  0
58582.88  15.774  0.399  0
58583.88  15.496  0.570  0
58590.88  16.403  0.499  0
58593.94  16.169  0.392  0
58597.89  16.231  0.420  0
58598.89  16.183  0.427  0
58600.92  16.233  0.433  0
58603.91  16.419  0.443  0
58604.99  16.772  0.289  0
58605.91  16.712  0.363  0
58608.89  16.669  0.372  0
58610.89  16.775  0.355  0
58611.89  16.797  0.332  0
58612.89  16.684  0.387  0
58619.93  16.849  0.446  0
58638.95  17.747  0.471  0
58646.93  18.483  1.312  0
58648.93  18.460  1.361  0
58652.91  18.558  1.082  0
58654.91  18.661  0.803  0
58655.91  18.270  0.602  0
58659.91  18.511  0.677  0
