#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58868.13  12.210  0.015  0
58869.13  11.992  0.014  0
58870.11  11.950  0.016  0
58875.11  12.078  0.015  0
58877.11  12.095  0.023  0
58878.12  12.193  0.016  0
58879.09  12.294  0.015  0
58880.10  12.194  0.015  0
58881.09  12.315  0.017  0
58885.10  12.658  0.018  0
58887.09  12.780  0.020  0
58894.03  12.996  0.033  0
58895.02  13.042  0.018  0
58899.04  13.289  0.022  0
58900.06  13.448  0.021  0
58911.12  14.024  0.022  0
58913.04  13.882  0.111  0
58914.02  14.096  0.029  0
58915.01  13.989  0.035  0
