#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61006.85  15.340  0.320  0
61006.85  15.635  0.154  0
61007.83  15.693  0.179  0
61008.83  15.711  0.303  0
61012.85  15.845  0.263  0
61013.85  16.038  0.284  0
61014.83  15.903  0.925  0
61016.83  16.082  0.121  0
61017.77  15.882  0.220  0
61017.83  16.018  0.141  0
61018.83  16.100  0.148  0
61019.83  16.188  0.142  0
61028.87  16.107  0.156  0
61029.85  16.245  0.145  0
61034.83  16.313  0.185  0
61035.84  16.622  0.222  0
61038.83  16.294  0.484  0
61051.89  16.987  0.174  0
61065.86  17.017  0.273  0
