#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61029.12  17.309  0.472  0
61030.06  17.504  0.347  0
61031.06  16.881  0.279  0
61035.06  16.245  0.227  0
61038.10  16.030  0.397  0
61050.01  15.834  0.271  0
61062.06  16.222  0.311  0
61063.99  16.467  0.257  0
61066.98  16.273  0.447  0
61068.00  16.657  0.417  0
61070.99  16.470  0.412  0
61078.99  17.477  0.540  0
61080.94  17.600  0.447  0
61081.94  17.569  0.441  0
61091.95  18.385  0.689  0
61094.91  17.719  0.674  0
61105.91  18.435  0.881  0
61111.94  18.055  0.687  0
