#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61038.28  15.121  0.094  0
61040.28  15.199  0.124  0
61052.27  16.013  0.344  0
61068.21  15.406  0.105  0
61070.20  15.567  0.180  0
61071.28  15.718  0.139  0
61072.27  15.862  0.195  0
61078.26  16.232  0.671  0
61081.19  16.275  0.240  0
61082.19  16.355  0.227  0
61092.18  16.640  0.257  0
61101.11  16.786  0.566  0
61108.10  16.785  0.420  0
61115.10  17.510  0.698  0
