#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61038.28  14.724  0.052  0
61040.28  14.763  0.037  0
61052.26  15.311  0.095  0
61068.20  15.690  0.075  0
61070.19  15.891  0.113  0
61071.27  15.914  0.087  0
61072.26  15.928  0.135  0
61078.25  16.798  0.440  0
61079.17  16.366  0.377  0
61081.18  16.359  0.116  0
61082.18  16.397  0.110  0
61092.17  16.688  0.119  0
61095.22  16.716  0.194  0
61101.10  16.847  0.336  0
61108.09  17.115  0.272  0
61115.09  17.371  0.245  0
