#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61068.13  13.122  0.329  0
61070.12  13.104  0.323  0
61071.16  13.123  0.317  0
61072.14  13.035  0.334  0
61079.13  13.552  0.356  0
61081.05  13.732  0.338  0
61082.05  13.586  0.182  0
61084.97  14.434  0.168  0
61092.06  14.027  0.332  0
61093.99  14.628  0.052  0
61095.08  14.241  0.328  0
61095.96  14.775  0.109  0
61103.00  15.115  0.192  0
61110.03  15.539  0.054  0
61115.02  15.403  0.372  0
