#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61060.85  16.912  0.124  0
61060.85  16.888  0.120  0
61069.84  16.531  0.512  0
61069.84  16.124  0.337  0
61070.85  17.513  0.976  0
61070.85  17.513  0.976  0
61073.84  17.275  0.367  0
61077.85  18.149  0.601  0
61080.86  18.784  0.501  0
61081.87  18.643  0.626  0
61088.85  19.036  0.653  0
61095.84  16.908  0.962  0
61099.79  18.059  1.002  0
61099.88  18.309  1.524  0
61100.85  17.933  0.859  0
61113.88  18.356  0.497  0
61114.86  19.405  1.130  0
