#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61060.85  16.442  0.092  0
61060.85  16.407  0.090  0
61069.83  16.433  0.512  0
61069.83  15.827  0.297  0
61070.84  16.975  0.604  0
61071.84  16.898  0.403  0
61072.85  16.743  0.326  0
61073.84  16.911  0.214  0
61077.84  17.256  0.158  0
61080.86  17.514  0.202  0
61081.86  17.548  0.193  0
61084.89  17.521  0.305  0
61088.84  17.542  0.192  0
61093.89  17.962  0.621  0
61099.79  17.986  0.660  0
61099.87  18.101  1.031  0
61100.85  17.917  0.779  0
61106.85  18.800  0.715  0
61107.85  18.151  0.411  0
61113.88  17.858  0.346  0
61114.85  18.170  0.445  0
61115.88  18.996  1.584  0
