#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61006.85  16.248  0.407  0
61006.85  16.060  0.589  0
61012.84  16.448  1.222  0
61013.84  16.727  1.188  0
61014.82  16.850  1.533  0
61016.82  16.933  0.351  0
61017.76  16.828  1.220  0
61017.82  16.738  0.351  0
61018.82  16.776  1.103  0
61019.82  17.422  0.197  0
61028.86  17.748  0.349  0
61029.84  17.898  0.442  0
61031.82  17.297  0.530  0
61034.82  18.022  0.863  0
61035.83  18.544  1.110  0
61038.82  17.770  2.348  0
61051.88  17.971  0.620  0
