#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61005.81  15.815  0.208  0
61006.84  15.774  0.248  0
61007.81  15.759  0.413  0
61008.81  15.843  0.915  0
61011.83  16.163  0.401  0
61012.83  16.100  0.588  0
61013.83  16.193  0.484  0
61014.81  16.326  0.843  0
61016.81  16.125  0.199  0
61017.76  16.200  0.473  0
61017.81  16.187  0.205  0
61018.81  16.240  0.298  0
61019.81  16.511  0.186  0
61027.93  16.651  0.227  0
61028.85  16.725  0.203  0
61029.83  16.774  0.222  0
61031.82  16.785  0.230  0
61034.82  16.933  0.311  0
61035.82  17.078  0.366  0
61038.82  16.560  0.776  0
61051.87  17.357  0.257  0
61065.84  17.590  0.473  0
61072.77  17.627  1.138  0
