#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61029.14  18.658  1.633  0
61030.08  17.379  0.602  0
61035.09  17.023  0.600  0
61050.03  16.511  0.495  0
61052.02  16.590  0.518  0
61062.08  16.613  0.530  0
61068.02  17.127  0.642  0
61069.97  16.972  0.893  0
61071.00  16.126  0.809  0
61079.01  17.077  0.619  0
61080.97  17.445  0.665  0
61081.97  17.611  0.737  0
61091.97  18.024  0.883  0
61094.93  18.575  1.936  0
61105.94  18.332  1.359  0
61111.96  18.811  2.784  0
