#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61029.13  17.560  0.492  0
61030.08  16.976  0.286  0
61035.08  16.319  0.312  0
61050.02  15.722  0.282  0
61052.02  15.841  0.284  0
61062.08  16.186  0.287  0
61068.02  16.362  0.377  0
61069.97  16.888  0.597  0
61071.00  15.870  0.250  0
61071.00  15.026  0.115  0
61079.01  16.862  0.376  0
61080.96  16.888  0.314  0
61081.96  17.117  0.380  0
61091.96  17.622  0.468  0
61094.93  17.771  0.720  0

