#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61036.27  14.536  0.061  0
61040.26  14.714  0.034  0
61052.25  15.174  0.205  0
61062.25  15.797  0.079  0
61070.18  16.301  0.188  0
61071.26  16.343  0.150  0
61072.25  16.327  0.198  0
61078.24  16.264  0.259  0
61081.16  16.441  0.374  0
61082.17  16.831  0.152  0
61089.16  16.817  0.273  0
61092.15  16.961  0.341  0
61095.21  17.015  0.145  0
61101.09  17.002  0.450  0
61108.08  17.122  0.312  0
