#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61071.24  15.391  0.132  0
61072.23  15.443  0.141  0
61078.22  15.193  0.102  0
61081.14  15.460  0.115  0
61089.11  15.934  0.082  0
61092.13  16.000  0.267  0
61093.97  15.928  0.143  0
61094.16  16.080  0.119  0
61095.19  16.188  0.122  0
61103.02  16.028  0.218  0
61106.11  16.192  0.289  0
61107.07  16.086  0.185  0
61108.06  16.527  0.167  0
61110.06  16.449  0.139  0
61112.08  16.706  0.211  0
