#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
61062.09  16.140  0.216  0
61064.01  15.911  0.231  0
61068.04  15.935  0.433  0
61070.03  15.864  0.570  0
61071.09  16.294  0.960  0
61079.05  16.240  0.661  0
61080.98  16.311  0.537  0
61089.02  16.610  0.765  0
61091.98  16.837  0.568  0
61093.95  16.817  0.635  0
61093.97  16.828  0.617  0
61095.03  16.934  0.594  0
61095.91  16.567  1.202  0
61107.91  17.187  0.513  0
