#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58496.05  15.040  0.393  0
58497.05  14.681  0.401  0
58498.12  14.319  0.388  0
58499.05  14.034  0.350  0
58503.03  13.401  0.263  0
58508.06  13.309  0.258  0
58510.01  13.215  0.251  0
58511.02  13.386  0.238  0
58512.01  13.326  0.239  0
58513.01  13.411  0.242  0
58514.00  13.457  0.247  0
58518.06  13.561  0.206  0
58518.99  13.645  0.297  0
58520.15  13.882  0.307  0
58521.01  13.896  0.257  0
58523.05  13.922  0.367  0
58523.98  14.002  0.242  0
58524.97  14.029  0.265  0
58525.97  14.067  0.267  0
58526.97  14.102  0.238  0
58537.97  13.506  0.376  0
58539.05  13.759  0.298  0
58540.97  13.705  0.366  0
58542.94  13.886  0.318  0
58543.99  14.068  0.312  0
58544.98  14.016  0.395  0
58546.98  14.034  0.384  0
58554.06  14.494  0.339  0
58554.96  14.520  0.407  0
58557.95  14.789  0.462  0
58562.93  15.462  0.614  0
58566.02  15.110  0.336  0
58577.90  15.406  0.507  0
58580.89  15.900  0.349  0
58581.89  15.872  0.361  0
58582.89  15.799  0.442  0
58583.89  15.831  0.463  0
58590.89  16.366  0.694  0
58593.95  16.509  0.552  0
58597.89  16.308  0.472  0
58600.93  16.580  0.557  0
58603.92  16.928  0.644  0
58605.92  17.074  0.545  0
58606.93  17.111  0.557  0
58607.90  16.989  0.543  0
58608.90  17.061  0.593  0
58610.90  17.252  0.610  0
58611.90  17.358  0.612  0
58612.90  17.331  0.698  0
58619.94  16.921  0.693  0
58638.96  17.409  0.778  0
58652.92  18.017  1.657  0
