#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58495.04  15.512  0.488  0
58497.04  14.917  0.409  0
58498.10  14.538  0.390  0
58505.92  13.344  0.040  0
58511.01  13.191  0.238  0
58513.99  13.148  0.240  0
58514.98  13.221  0.250  0
58516.19  13.175  0.272  0
58516.92  13.227  0.036  0
58518.05  13.122  0.197  0
58518.88  13.284  0.040  0
58520.99  13.356  0.238  0
58523.04  13.606  0.269  0
58523.97  13.770  0.099  0
58524.96  13.647  0.214  0
58526.96  13.889  0.251  0
58528.92  13.880  0.096  0
58535.95  14.501  0.051  0
58537.95  14.338  0.291  0
58539.03  14.321  0.390  0
58540.95  14.414  0.388  0
58543.97  14.794  0.327  0
58544.97  14.699  0.391  0
58552.94  15.439  0.070  0
58554.04  15.330  0.304  0
58566.00  15.533  0.321  0
58577.88  15.779  0.309  0
58580.88  16.016  0.290  0
58581.88  15.978  0.349  0
58582.88  15.522  0.528  0
58583.87  15.949  0.333  0
58593.93  16.206  0.416  0
58597.88  16.276  0.428  0
58598.88  16.290  0.407  0
58600.91  16.176  0.440  0
58603.90  16.396  0.444  0
58604.98  16.560  0.299  0
58605.90  16.579  0.351  0
58610.89  16.684  0.378  0
58611.89  16.781  0.378  0
58612.89  16.662  0.394  0
58617.89  17.425  0.891  0
58619.92  16.860  0.517  0
58638.94  17.389  0.392  0
58646.91  18.122  0.929  0
58648.91  17.855  1.103  0
58652.90  17.799  0.597  0
58654.90  17.761  0.491  0
58655.90  18.710  0.776  0
58659.90  17.567  0.427  0
