time band flux fluxerr zp zpsys
58495.04118 bessellv 7027.106183192031 2236.4864656500017 25.12931058 vega
58495.04877 bessellr 9811.391646020838 2496.517032784374 25.59734767 vega
58496.04614 bessellr 14715.994064763096 3811.6315938942 25.61984061 vega
58496.05373 besselli 5948.093791469941 1529.1402496081178 24.47626691 vega
58497.03825 bessellv 15047.181379103331 4010.3352651972314 25.36068507 vega
58497.04583 bessellr 21258.685546611403 5405.795226147047 25.6178188 vega
58497.05342 besselli 9241.043870532969 2415.2321405397797 24.59527689 vega
58498.10406 bessellv 22444.241858428228 5703.791819995811 25.41570227 vega
58498.11164 bessellr 29510.573123821727 6755.003666786135 25.62932238 vega
58498.11923 besselli 14229.863823283866 3596.6071016352234 24.70223463 vega
58499.04248 bessellr 32494.537502724932 7439.354133769086 25.4309948 vega
58499.05007 besselli 16771.578528365153 3826.110167069367 24.59529858 vega
58502.17985 bessellb 24362.705083455527 6692.669293429662 24.45555689 vega
58503.02481 bessellr 85553.24444769455 14255.009443717734 25.77509461 vega
58503.03239 besselli 35147.44985550863 6037.934001683516 24.76581445 vega
58505.9155 bessellv 61062.780492004116 1584.6641048880479 25.30851894 vega
58508.04792 bessellr 102662.24190229809 13706.75629876173 25.44768171 vega
58508.05549 besselli 31346.31113729954 5284.596620937714 24.5499547 vega
58510.00682 bessellr 120890.92371682305 19189.00331860239 25.69576558 vega
58510.0144 besselli 40443.607223872394 6613.276326573609 24.73222287 vega
58511.00774 bessellv 85160.67988614661 13182.323215003233 25.51707192 vega
58511.01532 bessellr 105128.23667113016 14245.233965080386 25.71089245 vega
58511.0229 besselli 38858.86612193814 6034.536293999093 24.8595549 vega
58512.00386 bessellr 116461.03355074166 18191.99967031425 25.70353638 vega
58512.01144 besselli 35795.70695247232 5573.0177995505865 24.71051578 vega
58512.98214 bessellb 45637.83228197231 432.6864469341628 24.92727318 vega
58513.00427 bessellr 117193.7232411325 18479.922759573827 25.79911972 vega
58513.01185 besselli 34255.63322617831 5397.965323266207 24.74797547 vega
58513.88673 bessellb 73151.82273883074 770.7964179335277 25.46808244 vega
58513.98554 bessellv 86648.99302350373 13554.962342630191 25.49232032 vega
58513.99313 bessellr 117863.41817977656 18283.160570059612 25.79427874 vega
58514.00071 besselli 35487.79469634536 5699.08355834834 24.83222428 vega
58514.98083 bessellv 83375.10310674124 13566.231421625813 25.52360207 vega
58514.98841 bessellr 116255.7087054856 19369.29284253466 25.83180828 vega
58516.18963 bessellv 83065.0020261888 14725.187977830008 25.4738194 vega
58516.92024 bessellv 52485.071358006106 1247.450378288481 25.02696681 vega
58518.04859 bessellv 65937.55815302604 8479.00852696652 25.17006626 vega
58518.05616 bessellr 83499.1126048133 9839.864556642366 25.4527207 vega
58518.06374 besselli 25971.974272831063 3477.4255872454546 24.59721933 vega
58518.88426 bessellv 44725.77101659706 1165.2119095773874 24.91004031 vega
58518.89816 bessellr 42828.50905392161 1134.3439732517943 24.91071474 vega
58518.99273 besselli 23595.230049645932 4568.380767408521 24.57687489 vega
58520.14502 besselli 23424.47337848548 4691.9217844218565 24.80604221 vega
58520.99006 bessellv 60448.69144965305 9374.869970914307 25.30955189 vega
58521.00522 besselli 22019.59039335815 3693.7070240884764 24.75318505 vega
58523.03619 bessellv 53431.032185017095 9362.961982394203 25.42539492 vega
58523.04376 bessellr 65694.17211795185 11809.613300863548 25.72696067 vega
58523.05134 besselli 20367.067184674623 4864.965067270347 24.69396976 vega
58523.96723 bessellv 41645.72777988111 2688.6870650573296 25.3192995 vega
58523.97481 bessellr 66893.5819903873 10790.098055532852 25.79823243 vega
58523.98239 besselli 18421.625112924194 2903.9731853787616 24.66506329 vega
58524.83949 bessellb 31610.875769496088 790.4750530985849 25.47920282 vega
58524.95665 bessellv 39843.06170398104 5544.051766136772 25.14749444 vega
58524.96422 bessellr 60377.59918064902 9807.57476899731 25.66068101 vega
58524.9718 besselli 19018.735911927244 3282.6746688457797 24.72678495 vega
58525.96532 bessellr 44835.917771209344 8075.042965721306 25.48140494 vega
58525.97289 besselli 16180.927500099191 2814.2128761664885 24.58907919 vega
58526.95807 bessellv 43895.67704987439 7186.962880526626 25.49555395 vega
58526.96565 bessellr 53032.37732222579 7743.055623133918 25.68392125 vega
58526.97322 besselli 17989.09055560394 2786.2752160136442 24.73967625 vega
58528.92012 bessellv 15330.186135943582 969.2262731581853 24.34341091 vega
58531.01662 bessellr 59065.90247668398 16079.005455820958 25.67402832 vega
58535.94477 bessellb 11399.268940618826 686.9295457156422 25.56505624 vega
58535.95053 bessellv 46662.70855705424 1552.0498575643312 26.1738779 vega
58536.93727 bessellr 51771.43131434562 12668.681609306937 25.59508524 vega
58537.95133 bessellv 18247.25007448552 3459.2225502288775 24.99103273 vega
58537.96649 besselli 24740.241121366573 6051.882783098974 24.48945159 vega
58539.03061 bessellv 25138.937602278285 6382.92396958639 25.32152881 vega
58539.04586 besselli 23906.18676118225 4635.256296533406 24.70567225 vega
58539.92116 bessellb 7197.235542675056 296.02287391025874 25.37404456 vega
58540.95397 bessellv 24167.022365551747 6105.782883764038 25.37252338 vega
58540.96155 bessellr 45765.09286975695 11327.676546244524 25.70005782 vega
58540.96913 besselli 24021.231241334634 5729.005334869441 24.65629005 vega
58542.9354 bessellr 39597.62222434489 7892.62795565534 25.72926498 vega
58542.94298 besselli 22731.674884392436 4711.608047183509 24.77713321 vega
58543.97226 bessellv 20768.829067648392 4419.299667352269 25.58741402 vega
58543.97984 bessellr 34209.70522397874 6588.901300024371 25.75425683 vega
58543.98743 besselli 17633.129620208503 3590.3216746833205 24.683395 vega
58544.96897 bessellv 19040.908585000532 4846.815720469001 25.39835453 vega
58544.97655 bessellr 30588.3069759249 7087.826468987129 25.61423451 vega
58544.98413 besselli 19045.63741027506 4900.401730303869 24.71548633 vega
58546.97347 bessellr 29462.71413526785 7219.289134930887 25.57212183 vega
58546.98105 besselli 17174.973039650955 4297.247739412745 24.62087513 vega
58552.93922 bessellv 10332.922403323608 469.62695963928115 25.47437567 vega
58552.94679 bessellr 20395.476490424542 4226.747763935391 25.40285024 vega
58554.04376 bessellv 13380.17445687098 2652.639321164042 25.64645317 vega
58554.05133 bessellr 21327.453905536648 3658.758584011485 25.77555659 vega
58554.05891 besselli 10982.43283648754 2430.562737822297 24.59615062 vega
58554.95213 bessellr 21514.62020806924 5393.935051504977 25.65608288 vega
58554.95971 besselli 11916.525865822026 3160.2396055034205 24.71046452 vega
58555.98668 bessellr 13909.105075881824 2924.98422197283 25.31348809 vega
58557.94544 bessellr 18206.15131838262 5210.646137692834 25.59647162 vega
58557.95302 besselli 8503.291748412703 2573.8128939459602 24.61254304 vega
58562.91892 bessellr 24240.276424013904 6029.355862699307 26.24693403 vega
58562.92648 besselli 5529.672059817067 2374.434865499622 24.81874945 vega
58566.00413 bessellv 13584.291363769014 2846.2828884506043 25.86572796 vega
58566.0117 bessellr 22077.086131263914 4577.386752445563 26.19219903 vega
58566.01929 besselli 9741.806522496152 2138.40927690807 25.08130236 vega
58577.88155 bessellv 9999.26494975119 2012.1517037895608 25.77917478 vega
58577.88914 bessellr 13358.045548615453 3518.9986521920114 25.67293512 vega
58577.89672 besselli 5625.422009087635 1865.6926941756606 24.78092856 vega
58580.87528 bessellv 7257.450660844798 1371.1693965205966 25.66757242 vega
58580.88286 bessellr 12316.773074178522 2431.038350067051 26.14830473 vega
58580.89044 besselli 4904.490074905732 1124.2512719004033 25.12673667 vega
58581.87597 bessellv 7293.776041744462 1661.2032308595674 25.63568972 vega
58581.88355 bessellr 11714.197124864577 2462.731740167613 26.05069843 vega
58581.89113 besselli 4224.597444567799 1003.4594765940725 24.93664755 vega
58582.87612 bessellv 8832.73620167154 3038.2713568001104 25.3875832 vega
58582.8837 bessellr 13038.275815685107 3390.9911699315458 26.06224153 vega
58582.89128 besselli 4914.835607115793 1422.6802154810252 25.02812578 vega
58583.87141 bessellv 8502.42285225495 1846.9061559397778 25.77265645 vega
58583.87899 bessellr 11815.268300039135 4388.565753417464 25.67668282 vega
58583.88685 besselli 5124.999318768883 1555.2731724967612 25.10523598 vega
58590.88298 bessellr 8383.198236682712 2792.639962502367 26.21155019 vega
58590.89057 besselli 3201.230219751995 1554.917035294598 25.12879321 vega
58593.93025 bessellv 7582.815130684946 2067.242753058738 25.90596557 vega
58593.93783 bessellr 9360.877285807523 2406.189051479775 26.09749292 vega
58593.94541 besselli 2425.01666795192 907.2839394653547 24.97065401 vega
58597.87881 bessellv 6660.840711692032 1858.4387836397038 25.83451284 vega
58597.88639 bessellr 8717.27261748704 2386.465735108918 26.08150053 vega
58597.89397 besselli 2198.6597599878783 690.0604510205009 24.66306847 vega
58598.87932 bessellv 5736.572095017392 1524.9031130997273 25.68693641 vega
58598.88691 bessellr 8564.72880605703 2388.74406904641 26.01473711 vega
58600.91272 bessellv 6597.7757751652725 1892.2372641691413 25.72403738 vega
58600.9203 bessellr 8091.111983788546 2287.349532383655 26.0028115 vega
58600.92788 besselli 2333.14159339048 862.885251177309 24.99958194 vega
58603.90362 bessellv 5553.423784977877 1607.2430823658567 25.7578779 vega
58603.9112 bessellr 4205.935342228129 1223.0328630160616 25.47873962 vega
58603.91877 besselli 1550.7644335553366 677.8977814711461 24.90471182 vega
58604.98012 bessellv 5567.603613082867 1087.7870114817347 25.92387459 vega
58604.98771 bessellr 5479.212247918022 1036.7862023244347 26.11912992 vega
58605.90474 bessellv 5417.279060606968 1241.4438686030312 25.91368391 vega
58605.91233 bessellr 6344.958823135787 1507.0659606562033 26.21790777 vega
58605.91992 besselli 1809.6911727056795 666.6089640949799 25.21795141 vega
58606.90658 bessellb 1664.9692921161384 418.9132112408703 25.43807794 vega
58606.93087 besselli 1700.9459911199124 640.8983236285258 25.18751182 vega
58607.89917 besselli 1895.5572604336703 693.2098676792068 25.18382542 vega
58608.89209 bessellr 6201.343441231867 1510.482347123903 26.14994076 vega
58608.89967 besselli 1573.6976489537328 638.4307715219591 25.05321904 vega
58610.88565 bessellv 5171.925209727219 1275.618283732385 25.96809697 vega
58610.89323 bessellr 5336.648268915935 1240.2081856772832 26.09336374 vega
58610.90081 besselli 1471.6261079634583 614.534023584165 25.17181915 vega
58611.8863 bessellv 4992.943182467679 1233.829691060058 26.02647108 vega
58611.89388 bessellr 5079.899729850712 1107.2873199806445 26.06202423 vega
58611.90145 besselli 1429.8488157075165 598.045256186233 25.24573051 vega
58612.8868 bessellv 4822.069483023317 1243.6330280618395 25.86964369 vega
58612.89437 bessellr 5873.1244563683495 1491.9301854354576 26.10633013 vega
58612.90195 besselli 1331.8533272363477 646.9788286805965 25.14214735 vega
58617.88987 bessellv 2136.591734629591 1363.4220786068563 25.74966787 vega
58619.92332 bessellv 2915.7506693764926 1032.9582517107879 25.52193994 vega
58619.93088 bessellr 4985.7493809260695 1491.642061947869 26.09284196 vega
58619.93844 besselli 1967.4404313705709 961.9886401527691 25.1562323 vega
58638.94464 bessellv 2366.3265472552393 613.0477437404159 25.82468036 vega
58638.95222 bessellr 2013.0049369076885 638.9290251482728 26.00686845 vega
58638.9598 besselli 1063.951247201618 602.1797059632723 24.9762156 vega
58646.91092 bessellv 1162.689600494128 806.6427678757922 25.78534374 vega
58646.92762 bessellr 1026.2099471565566 1071.9188029224413 26.01157476 vega
58648.91158 bessellv 1068.843085323451 878.7441607560656 25.42696625 vega
58648.92828 bessellr 905.7073330129838 996.0704610962099 25.85253795 vega
58652.90452 bessellv 1581.4431629744563 658.6803567312104 25.79694702 vega
58652.9121 bessellr 1077.7688218792823 891.3745507689355 26.13926563 vega
58652.91968 besselli 613.6293446035053 840.8203524420612 24.98667299 vega
58654.89579 bessellv 1407.4575076558383 464.91534730693235 25.63202401 vega
58654.91248 bessellr 800.1113957841502 471.3491205610659 25.91895131 vega
58655.89583 bessellv 606.8935306044473 343.43446415479536 25.66784835 vega
58655.91253 bessellr 1290.9913013004355 539.2694697104544 26.04703287 vega
58659.89624 bessellv 1378.8371751234417 398.9051649243616 25.41562932 vega
58659.91298 bessellr 981.3926656585978 471.46948460655125 25.99054538 vega
58899.95576 besselli 488.0489648806132 512.5369462832639 24.94679975 vega
