time band flux fluxerr zp zpsys
61036.26599 bessellv 17586.246491414484 698.2399043354565 25.14862996 vega
61038.27205 bessellb 13426.08140281604 862.7616663018363 25.11166304 vega
61038.27659 bessellr 26873.001476909987 919.9749552039628 25.79695974 vega
61038.28416 besselli 7920.623245267606 491.40545946591453 24.86761933 vega
61040.2608 bessellv 17810.86238099367 397.74781635509385 25.34028123 vega
61040.26838 bessellb 10265.939771468944 537.8812815194656 24.86290666 vega
61040.27594 bessellr 25495.70092243749 611.8020256708891 25.77909352 vega
61040.28351 besselli 6061.512819651187 500.31499959072045 24.65585816 vega
61052.24501 bessellv 8667.221349127309 1165.2051738361226 25.01888111 vega
61052.26014 bessellr 11050.261104414063 700.0436326884334 25.41901737 vega
61052.2677 besselli 2830.676373234342 688.2541135318369 24.64227893 vega
61062.24818 bessellv 7351.331310233179 382.6549915801396 25.46335303 vega
61068.19481 bessellb 1390.4063674917022 202.0692446418481 25.11764514 vega
61068.19935 bessellr 9693.040068474234 474.24738712099185 25.65626083 vega
61068.20692 besselli 5492.916839102414 383.81180018963744 24.75516484 vega
61070.17878 bessellv 4670.795530946603 599.2394270379505 25.47451827 vega
61070.18636 bessellb 686.5020461360945 511.9962973600343 24.57760814 vega
61070.19392 bessellr 9420.95453677242 713.1023721384031 25.82643263 vega
61070.20149 besselli 4356.675084579193 532.9337777572215 24.66524937 vega
61071.25609 bessellv 4546.149527365634 459.1361816343168 25.48745771 vega
61071.26368 bessellb 741.821971083217 326.2478616335706 24.76595807 vega
61071.27123 bessellr 8498.5591216255 488.59993684759553 25.73778084 vega
61071.2788 besselli 4105.919325947676 384.0127624379598 24.75190817 vega
61072.24539 bessellv 4590.591836102233 615.1948401671764 25.48157754 vega
61072.259 bessellb 1552.4960933297252 536.0586218735383 25.25123221 vega
61072.26052 bessellr 7922.060595851148 712.3021344519942 25.67535507 vega
61072.26808 besselli 3492.301254820239 462.8180165548685 24.72011289 vega
61078.23557 bessellv 4976.70662499073 891.2369943405579 25.50627364 vega
61078.24315 bessellb 1326.1965689535275 610.6902860251699 25.12524943 vega
61078.2507 bessellr 3847.3659405187677 1235.0276462657962 25.76058086 vega
61078.25827 besselli 2326.1440844400427 1187.3629138782221 24.64847244 vega
61079.17418 bessellr 5188.192577078525 1376.6010691978863 25.65316012 vega
61081.16394 bessellv 2901.236656222285 717.2441094953349 25.09743834 vega
61081.17454 bessellb 1363.4977951485932 280.8041070988322 25.11315442 vega
61081.17908 bessellr 5396.3343727859265 418.1175740149889 25.68935385 vega
61081.18664 besselli 2360.676669875357 391.2885700684595 24.70763832 vega
61082.16548 bessellv 2459.6964821168176 251.30351490404195 25.30793824 vega
61082.17306 bessellb 935.8151936399021 178.57209873306329 24.96621874 vega
61082.18062 bessellr 5022.813490157162 369.6263266719944 25.64888975 vega
61082.18819 besselli 2354.4830917994914 367.752200950402 24.78454087 vega
61089.16305 bessellv 2522.9769104550587 454.1116261178664 25.32167861 vega
61089.17063 bessellb 639.6343935591112 209.2137059806289 24.62397738 vega
61092.15376 bessellv 2114.972067458159 477.18240453190265 25.27431525 vega
61092.16436 bessellb 751.2897920167603 168.29462773893857 25.16431904 vega
61092.1689 bessellr 4517.670790063472 356.18731481247835 25.82575296 vega
61092.17647 besselli 1960.4164587882335 348.3738779359045 24.87053781 vega
61095.20646 bessellv 2459.966494957165 237.96333006077464 25.49267826 vega
61095.22159 bessellr 2293.442667938035 302.608076228603 25.11723329 vega
61101.0897 bessellv 2191.0312105854464 718.6256619606214 25.3533729 vega
61101.10483 bessellr 3443.8633608365835 812.9547927801343 25.68955943 vega
61101.1124 besselli 1347.0554582891152 569.9865160556019 24.6096874 vega
61108.07848 bessellv 1919.4400486010636 422.78447912024916 25.32945279 vega
61108.08606 bessellb 954.3809983946882 347.1655134468714 24.82213361 vega
61108.09362 bessellr 2614.792580616147 497.07104718722223 25.65843311 vega
61108.10118 besselli 1353.4852896370298 413.4584455371674 24.61357769 vega
61115.09067 bessellr 1769.5868241457501 298.14525127914465 25.49081749 vega
61115.09824 besselli 658.9102022388369 351.9105955967403 24.55688532 vega
