time band flux fluxerr zp zpsys
61060.84582 bessellv 4331.595002675426 258.6477808660123 25.49871186 vega
61060.84582 bessellv 4204.605867244494 255.92407826360898 25.50170613 vega
61060.85341 bessellb 2098.4464549246395 168.07630127702345 25.19277664 vega
61060.85341 bessellb 2047.0234414218128 169.7297076657465 25.18931869 vega
61069.83381 bessellv 9414.177273018726 1926.2014652737244 25.76108064 vega
61069.83381 bessellv 5141.290409533128 1907.311137065389 25.71114351 vega
61069.8414 bessellb 4553.578711157304 1081.5495022068992 25.27027353 vega
61069.8414 bessellb 3319.1039335115815 1218.0692315762046 25.33318783 vega
61070.84415 bessellv 2960.332192662876 1336.904964931119 25.65377299 vega
61070.85173 bessellb 1312.1641376015152 1015.284740963112 25.30832745 vega
61070.85173 bessellb 1312.1641376015152 1015.284740963112 25.30832745 vega
61070.8593 bessellr 5753.27704932342 1734.1806469140022 25.84546623 vega
61071.84361 bessellv 3039.8790475868564 882.6379891763179 25.60471418 vega
61072.84678 bessellv 2886.9746603933536 664.0704047185353 25.39450014 vega
61072.87268 besselli 743.6571947210967 595.4628150757653 24.50380573 vega
61073.83715 bessellv 2570.140445314572 376.8406146720558 25.43547658 vega
61073.84474 bessellb 1362.2148174587114 356.32324322202845 25.11018027 vega
61073.85231 bessellr 3690.1547578549216 572.3113558896005 25.6149664 vega
61073.85981 besselli 1201.3327480463893 413.4412346062715 24.615429 vega
61077.83775 bessellv 2116.590936048253 226.46161146059723 25.57018664 vega
61077.84534 bessellb 434.83795837273465 188.1004572679979 24.74448966 vega
61078.85481 bessellr 2364.442929919889 347.46683278422176 25.24203272 vega
61078.8639 besselli 1405.3803728239732 319.2406508535537 24.83884425 vega
61080.85712 bessellv 1641.3712117518073 226.44013038820245 25.55174225 vega
61080.86471 bessellb 424.0150854166923 153.46448884189147 25.35217855 vega
61080.8723 bessellr 3667.3995891732916 328.54198610975703 25.82142852 vega
61080.88061 besselli 2247.351892565884 295.42849783349396 24.7348152 vega
61081.86286 bessellv 1683.9939542707768 221.4247999386457 25.61343575 vega
61081.87046 bessellb 457.13224031664237 199.98426063842595 25.29323028 vega
61081.87804 bessellr 3800.1301942048053 327.3398700092019 25.83175037 vega
61081.88562 besselli 1960.4525893829898 336.5028473551439 24.83687033 vega
61084.89379 bessellv 2732.6736934192036 592.84413048496 26.11197905 vega
61088.84154 bessellv 1679.9760407150345 220.36164959595027 25.60538587 vega
61088.84912 bessellb 336.6364234059979 165.94249932662322 25.35438221 vega
61088.8567 bessellr 3211.1135265576177 313.9021907441167 25.88094414 vega
61088.86428 besselli 2051.3760840908008 309.3154266274123 24.88872707 vega
61091.80019 bessellr 1363.991223833126 591.6941559299856 25.20047794 vega
61093.88514 bessellv 1643.9474088134903 777.7005799838405 26.00133368 vega
61095.84296 bessellb 1844.3351530833393 1424.515100413874 25.07274848 vega
61099.78741 bessellv 1801.117243150502 912.2692732496738 26.12464501 vega
61099.79375 bessellb 883.9750188162378 714.7566359207462 25.42517659 vega
61099.8711 bessellv 843.9819138666979 701.7027429447434 25.41673588 vega
61099.87868 bessellb 568.5156233328084 727.3089823874873 25.19626532 vega
61099.88626 bessellr 2011.496698065766 731.9436478744636 25.64400767 vega
61100.84677 bessellv 1055.5480505439389 638.838825328991 25.47519572 vega
61100.85435 bessellb 881.0615889287036 590.3542862622687 25.29519991 vega
61100.86343 bessellr 2158.290762740452 682.2741725468198 25.80340665 vega
61100.8695 besselli 1877.2072550089242 529.9506283528654 24.80730383 vega
61106.8493 bessellv 478.072175657262 262.9835192620763 25.49917027 vega
61106.86446 bessellr 1391.2260467516826 354.7321194972919 25.75424611 vega
61106.87204 besselli 953.3368226995593 367.0826397994642 24.74414261 vega
61107.84819 bessellv 789.1942711516476 234.73496837259273 25.39385995 vega
61113.87631 bessellv 928.3651990326707 228.07235622718554 25.27688743 vega
61113.88389 bessellb 451.9780373930495 164.73220693507625 24.99367619 vega
61113.89147 bessellr 1204.546139299192 333.9888808613721 25.44182683 vega
61113.89905 besselli 1032.2085022246297 342.06966773247996 24.62968384 vega
61114.85403 bessellv 743.1060959769316 241.1688337814214 25.34736501 vega
61114.86162 bessellb 196.02508190986484 179.93759800993305 25.13561555 vega
61114.86919 bessellr 1085.7647352015392 335.4707711047279 25.63664107 vega
61114.87677 besselli 801.4384307878415 343.93062873896446 24.73393043 vega
61115.87712 bessellv 279.1523087074338 373.8790822084925 25.11098125 vega
61115.89229 bessellr 661.0339302726563 398.75014074546567 25.3666072 vega
61115.89987 besselli 422.8566920071908 608.7408299684503 24.34215129 vega
