time band flux fluxerr zp zpsys
61089.02557 bessellv 2975.3189478299305 227.05103711837353 25.45505829 vega
61089.0392 bessellr 5916.844939006859 250.486010703224 25.82021426 vega
61094.03489 bessellv 6144.111380660708 318.7354341561466 25.28975207 vega
61094.05002 bessellr 11783.603805405806 377.4167651641912 25.51470803 vega
61094.05758 besselli 6532.243900099518 281.5541850409025 24.65249437 vega
61095.14023 bessellv 5356.015682955616 274.6934942056237 25.22467902 vega
61095.15533 bessellr 9897.1735085268 414.09019361066646 25.43517454 vega
61095.16288 besselli 5584.277402459956 388.600069060098 24.54481973 vega
61095.86192 bessellv 8705.481561410284 885.2339230529227 25.51275922 vega
61095.87204 bessellb 2880.2004638945227 478.0333174612838 24.79256009 vega
61095.88145  13389.018326182757 931.0133309791431 25.42951082 vega
61099.8159  22715.013120232867 1012.7513770251812 25.82634061 vega
61099.82209 bessellv 16476.58988827904 906.3376832863212 25.88352307 vega
61099.96667 bessellr 17553.946402888934 1221.3950197340357 25.56629951 vega
61099.97424 besselli 10458.35722746579 1062.8216835501585 24.65667946 vega
61100.95871 bessellr 12589.774866069329 1495.7422822815204 25.69883081 vega
61100.96628 besselli 7192.381975522643 1140.3137454061089 24.77165509 vega
61101.85363 bessellv 9311.322482685544 1495.5897867380818 25.21384704 vega
61102.86159 bessellv 19801.18256754229 1092.3922974579893 25.92418923 vega
61102.87235  27588.913148420845 1088.7297471401594 25.82531783 vega
61102.88737 bessellb 4405.542508002822 688.8384415120112 25.21929676 vega
61103.85133 bessellb 3200.79470552839 583.9455859159845 24.96466507 vega
61103.86189 bessellv 13732.89843062211 974.4776302248239 25.78572111 vega
61103.86858  21085.203262822393 1022.6707921471447 25.75904536 vega
61105.98916 bessellv 9891.948530803551 581.8368363520242 25.37207359 vega
61106.0043 bessellr 17346.057432568035 668.0201689612257 25.48549867 vega
61106.01186 besselli 11174.93011881157 517.3928699790634 24.62558819 vega
61109.96008 bessellv 9535.956647390696 323.97877339515406 25.24500432 vega
61109.97522 bessellr 17834.127205103694 393.9676840295565 25.16244663 vega
61109.98279 besselli 11490.566380841014 421.69663495200956 24.46053475 vega
61112.03551 bessellv 11668.009552418525 327.73251901703156 25.19899465 vega
61114.97545 bessellv 7794.900789017862 189.501453480758 25.22149968 vega
61114.99058 bessellr 16114.034754921651 312.83756382054287 25.46633217 vega
61114.99815 besselli 10315.412416134395 417.0389391058229 24.59724873 vega
