#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58868.14  12.363  0.020  0
58869.13  12.132  0.019  0
58875.12  12.126  0.028  0
58877.11  12.095  0.029  0
58878.13  12.199  0.024  0
58879.10  12.240  0.025  0
58880.10  12.027  0.023  0
58881.10  12.202  0.021  0
58885.10  12.681  0.030  0
58887.10  12.828  0.030  0
58894.04  13.328  0.063  0
58895.03  13.426  0.023  0
58897.04  13.530  0.064  0
58899.05  13.641  0.031  0
58900.06  13.660  0.025  0
58912.03  14.325  0.034  0
58914.03  14.366  0.035  0
58915.02  14.231  0.039  0
