#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
58868.15  12.218  0.019  0
58869.14  12.027  0.025  0
58875.13  12.181  0.042  0
58877.12  12.189  0.033  0
58878.13  12.304  0.032  0
58879.11  12.369  0.028  0
58880.11  12.263  0.033  0
58881.11  12.337  0.020  0
58885.11  13.146  0.045  0
58887.10  13.515  0.055  0
58895.03  14.538  0.040  0
58899.06  14.777  0.051  0
58912.04  15.277  0.048  0
58913.06  15.272  0.080  0
58914.04  15.321  0.060  0
58915.03  15.165  0.069  0
