SN2019np 0.015791 346.8283843 42.1988628
filter g 
60092.244468 16.555 0.078
58853.496215 20.465 0.208
58852.54081 20.766 0.38
58852.518079 20.554 0.267
58849.497164 20.447 0.247
58836.551829 20.193 0.291
58830.547523 20.123 0.271
58827.545486 20.306 0.268
58792.536898 19.597 0.183
58789.506852 19.651 0.171
58784.492349 19.579 0.297
58781.470266 19.517 0.314
58776.539931 19.308 0.201
58765.505544 19.243 0.178
58662.202882 17.723 0.071
58640.173356 17.452 0.058
58637.222268 17.382 0.057
58634.218565 17.339 0.068
58612.176053 17.028 0.038
58608.206609 16.955 0.037
58605.21228 16.918 0.038
58597.255023 16.805 0.032
58591.183021 16.685 0.041
58587.248148 16.6 0.04
58581.210417 16.531 0.036
58575.275046 16.417 0.047
58572.206331 16.386 0.049
58567.205602 16.285 0.045
58559.309074 16.195 0.038
58556.35603 16.091 0.034
58541.269317 15.505 0.031
58538.279155 15.278 0.031
58526.423137 14.257 0.02
58522.411343 13.894 0.029
58507.509815 13.411 0.017
58507.469063 13.413 0.016
58502.440694 13.862 0.02
58494.482755 16.356 0.036
filter r 
60959.52941 18.97 0.172
60959.525451 19.062 0.18
60958.529826 18.944 0.143
60958.525868 18.703 0.192
60958.521921 18.913 0.216
60957.528738 18.91 0.15
60957.524792 18.888 0.138
60957.520822 19.05 0.204
60955.525393 18.83 0.198
60955.521447 18.865 0.154
60953.529178 18.844 0.138
60953.525301 18.97 0.144
60953.521447 18.913 0.151
60952.529282 18.983 0.185
60952.525313 18.994 0.143
60952.521366 19.067 0.182
60951.528958 18.964 0.15
60951.525 19.028 0.144
60951.52103 19.015 0.125
60948.531516 19.049 0.219
60948.52713 19.09 0.187
60948.526655 18.887 0.142
60948.522766 18.935 0.169
60948.518877 18.989 0.138
60942.527662 19.031 0.251
60938.528507 18.688 0.245
60580.524954 18.938 0.155
60580.520926 19.053 0.196
60574.522986 18.807 0.234
60574.522512 18.94 0.301
60574.522049 18.901 0.185
60572.523634 18.846 0.226
60571.524062 18.646 0.228
60092.275451 19.018 0.157
58650.248368 18.194 0.089
58647.237685 18.145 0.091
58640.221956 17.971 0.065
58637.176782 17.908 0.05
58634.171609 17.825 0.067
58618.265023 17.373 0.042
58617.246991 17.327 0.055
58612.195741 17.201 0.045
58608.2164 17.094 0.044
58601.261204 16.891 0.037
58597.347477 16.772 0.04
58597.241875 16.764 0.044
58594.157812 16.673 0.042
58593.269444 16.65 0.041
58591.358333 16.603 0.028
58587.256262 16.455 0.024
58584.184606 16.363 0.032
58582.214699 16.32 0.03
58581.23522 16.271 0.037
58575.228785 16.095 0.062
58574.217292 16.099 0.057
58572.227373 15.989 0.027
58559.242755 15.539 0.034
58558.182836 15.522 0.025
58541.275474 14.627 0.037
58538.236134 14.5 0.035
58534.367176 14.377 0.019
58513.439745 13.488 0.024
58513.43265 13.495 0.029
58511.392431 13.457 0.031
58510.283646 13.468 0.026
58502.518599 13.919 0.027
58493.441481 17.001 0.033
58492.447639 18.177 0.131
filter i 
