SN2025acsn 0.015791 346.8283843 42.1988628
filter g 
61066.119375 19.086 0.208
61059.112558 18.928 0.114
61055.133495 18.792 0.141
61049.160347 18.795 0.132
61032.110278 18.059 0.201
61030.114352 17.933 0.06
61028.143866 17.749 0.056
61026.141296 17.58 0.053
61024.11684 17.421 0.06
61022.139849 17.228 0.055
61020.142014 17.079 0.041
61016.100081 16.838 0.058
61006.09787 16.143 0.036
60992.224861 17.392 0.693
60989.202859 17.338 0.045
60987.120741 18.269 0.063
60985.149306 19.582 0.366
60985.097998 19.364 0.211
filter r 
61059.137928 18.089 0.058
61055.103461 17.977 0.058
61053.181354 17.904 0.067
61049.111377 17.781 0.046
61032.154537 16.878 0.06
61030.154745 16.793 0.037
61028.199572 16.741 0.036
61026.118576 16.708 0.043
61024.146111 16.671 0.036
61022.089988 16.635 0.047
61020.113808 16.608 0.035
61016.163808 16.532 0.067
61012.096539 16.303 0.046
61006.165648 15.935 0.03
60989.094352 17.144 0.04
60987.093206 17.953 0.054
filter i 
