SN2025ahkt 0.015791 346.8283843 42.1988628
filter g 
61098.265972 18.818 0.14
61097.415451 18.712 0.149
61097.382651 18.727 0.133
61096.404086 18.792 0.135
61096.389815 18.78 0.146
61095.321389 18.732 0.101
61095.319028 18.781 0.088
61094.266782 18.744 0.126
61094.265845 18.716 0.086
61093.254352 18.785 0.149
61086.384583 18.479 0.089
61085.350266 18.495 0.08
61085.349317 18.431 0.101
61080.290069 18.254 0.121
61080.289606 18.201 0.086
61080.282107 18.236 0.104
61080.281644 18.248 0.103
61079.279699 18.218 0.075
61079.27875 18.214 0.077
61079.269745 18.208 0.086
61079.268796 18.162 0.081
61075.42441 18.021 0.082
61075.184329 17.999 0.149
61070.318044 17.702 0.105
61070.297269 17.643 0.055
61068.297558 17.53 0.072
61068.297083 17.496 0.075
61065.299884 17.218 0.054
61065.299421 17.243 0.057
61060.352882 16.764 0.038
61060.351944 16.764 0.034
61058.36625 16.587 0.037
61058.365775 16.579 0.031
61056.337755 16.428 0.038
61056.33728 16.429 0.036
61054.422546 16.309 0.032
61054.422083 16.304 0.034
61052.362431 16.192 0.033
61052.342905 16.178 0.037
61050.410775 16.085 0.035
61050.339062 16.087 0.037
61038.420428 16.178 0.029
61038.384398 16.168 0.037
61031.445278 17.038 0.036
61029.459525 17.452 0.053
61029.457118 17.444 0.047
61027.434178 18.257 0.076
61027.433704 18.194 0.086
61025.433889 20.644 0.28
filter r 
61099.407465 18.035 0.079
61098.323437 17.941 0.074
61097.298565 17.935 0.066
61097.29809 17.906 0.072
61096.254641 17.898 0.057
61096.240683 17.89 0.077
61095.295336 17.847 0.059
61095.286782 17.888 0.061
61094.235822 17.811 0.06
61094.234861 17.827 0.056
61093.227697 17.809 0.146
61093.227222 17.794 0.117
61087.224039 17.541 0.075
61086.254028 17.452 0.06
61086.253079 17.541 0.066
61085.374456 17.472 0.05
61085.365451 17.442 0.043
61080.321447 17.236 0.055
61080.320498 17.233 0.037
61080.318611 17.255 0.053
61080.317662 17.241 0.058
61079.332697 17.167 0.059
61079.331759 17.169 0.058
61079.317488 17.191 0.053
61079.316551 17.226 0.059
61078.284201 17.121 0.049
61078.283252 17.122 0.043
61078.282789 17.143 0.053
61078.28184 17.132 0.064
61077.344502 17.098 0.044
61077.317974 17.075 0.072
61075.398241 17.009 0.047
61075.277211 16.971 0.047
61070.277859 16.829 0.052
61068.336979 16.712 0.042
61068.33603 16.891 0.048
61065.327708 16.564 0.036
61065.327234 16.577 0.03
61060.330289 16.399 0.033
61060.305613 16.396 0.037
61058.317257 16.335 0.049
61056.309919 16.299 0.033
61056.274491 16.292 0.035
61054.361134 16.246 0.031
61054.344884 16.26 0.034
61052.423322 16.241 0.032
61052.421898 16.213 0.029
61038.443113 16.39 0.043
61038.442153 16.377 0.035
61031.426493 17.148 0.049
61031.425556 17.158 0.041
61029.42463 17.538 0.045
61029.423681 17.526 0.047
61027.401435 18.308 0.079
61027.400463 18.378 0.062
61025.446516 20.694 0.282
filter i 
61099.283843 17.996 0.203
61097.200903 18.045 0.089
61097.200428 18.0 0.085
61096.361215 17.907 0.076
61095.400347 17.882 0.077
61095.390833 17.92 0.079
61094.382049 17.814 0.07
61094.382049 17.814 0.07
61094.37066 17.856 0.073
61094.37066 17.856 0.073
61093.195243 17.911 0.125
61087.249132 17.606 0.1
61087.248669 17.608 0.07
61086.339826 17.618 0.278
61086.325799 17.451 0.216
61085.385428 17.471 0.06
61085.381655 17.502 0.079
