SN2025ahsa 0.015791 346.8283843 42.1988628
filter g 
61100.420474 17.779 0.055
61097.519919 17.79 0.047
61095.503901 17.882 0.081
61094.460787 17.871 0.08
61080.45228 17.518 0.051
61078.476505 17.456 0.053
61077.502581 17.462 0.058
61075.49206 17.389 0.049
61073.556134 17.387 0.079
61060.543901 16.277 0.037
61056.55985 15.94 0.027
61054.49934 15.805 0.024
61031.519178 14.755 0.035
61029.504259 14.93 0.033
filter r 
61099.453438 17.213 0.049
61096.481829 17.138 0.047
61095.457975 17.184 0.037
61083.521308 16.733 0.04
61081.49706 16.737 0.044
61080.523553 16.639 0.034
61077.538924 16.529 0.03
61075.527558 16.388 0.035
61073.50625 16.291 0.035
61071.541643 16.181 0.028
61060.483206 15.658 0.037
61056.495637 15.652 0.03
61054.544688 15.654 0.024
61031.564977 14.93 0.046
61031.556319 14.941 0.042
61030.563715 14.985 0.043
61029.547488 15.056 0.036
61017.571829 18.961 0.223
filter i 
61100.537153 17.594 0.056
61099.387546 17.619 0.078
61097.472604 17.5 0.053
61096.451991 17.496 0.069
61095.525567 17.431 0.049
61094.541586 17.427 0.055
61085.413484 17.035 0.057
