SN2026acd 0.015791 346.8283843 42.1988628
filter g 
61129.25206 17.096 0.055
61126.36354 17.038 0.042
61125.3642 17.01 0.04
61123.35899 16.974 0.043
61121.35412 16.953 0.057
61121.33745 16.981 0.073
61120.36205 16.945 0.037
61119.29207 16.893 0.044
61118.36144 16.886 0.041
61117.36005 16.859 0.032
61116.30777 16.852 0.046
61115.34096 16.816 0.043
61114.401 16.808 0.039
61113.25427 16.79 0.06
61111.3598 16.749 0.032
61110.39609 16.712 0.036
61110.38748 16.732 0.029
61108.2545 16.676 0.038
61107.44495 16.681 0.044
61107.43009 16.665 0.039
61106.23578 16.612 0.049
61106.23484 16.684 0.051
61105.4916 16.594 0.038
61105.49113 16.628 0.033
61101.33938 16.452 0.048
61100.37892 16.38 0.033
61099.49732 16.389 0.047
61099.48838 16.338 0.032
61097.40012 16.209 0.038
61096.397 16.137 0.039
61095.36716 16.048 0.034
61094.4446 15.965 0.025
61094.43383 16.002 0.033
61086.40616 15.026 0.036
61086.40115 15.036 0.026
61085.44213 14.929 0.033
61079.45808 14.352 0.027
61078.44362 14.271 0.028
61078.41999 14.248 0.022
61077.42311 14.149 0.026
61073.40228 14.007 0.034
61071.42515 13.923 0.024
61069.51072 13.878 0.033
61065.41228 14.035 0.021
61060.41405 14.948 0.027
61058.39895 15.719 0.042
61056.40549 16.869 0.042
61054.46279 19.498 0.123
filter r 
61129.36424 16.779 0.046
61126.1825 16.681 0.035
61125.24118 16.629 0.033
61123.30829 16.561 0.047
61121.31276 16.485 0.038
61120.32895 16.468 0.031
61119.33916 16.407 0.029
61118.31713 16.368 0.039
61117.29792 16.357 0.032
61116.41192 16.302 0.17
61115.40087 16.27 0.026
61114.39426 16.223 0.037
61114.39426 16.223 0.037
61113.36319 16.242 0.056
61112.3202 16.156 0.029
61111.45044 16.15 0.033
61111.45044 16.15 0.033
61111.30718 16.119 0.031
61108.42848 16.15 0.038
61108.41637 15.995 0.03
61107.38303 15.963 0.019
61106.44438 15.896 0.03
61106.4364 15.953 0.04
61105.40292 15.89 0.034
61101.40324 15.653 0.03
61100.44196 15.589 0.028
61099.42931 15.524 0.023
61098.33723 15.464 0.035
61096.46336 15.275 0.029
61080.34991 14.667 0.024
61079.50032 14.586 0.024
61078.50605 14.493 0.027
61077.52348 14.425 0.036
61077.34609 14.37 0.044
61071.33737 14.04 0.025
61065.48083 14.199 0.024
61065.44035 14.154 0.025
61058.46563 15.73 0.03
61058.46468 15.71 0.035
61056.48229 16.813 0.044
61054.39557 19.043 0.118
61054.39416 19.095 0.096
filter i 
61127.40176 17.046 0.047
61127.38384 16.995 0.053
61126.33697 16.958 0.045
61125.30438 16.955 0.058
61124.38151 16.892 0.037
61123.34291 16.821 0.039
61123.34007 16.846 0.034
61121.28591 16.717 0.041
61120.28587 16.702 0.042
61119.32174 16.636 0.048
61119.30462 16.653 0.035
61118.28713 16.606 0.041
61118.28524 16.598 0.039
61117.32335 16.535 0.033
61116.40073 16.6 0.087
61115.35735 16.434 0.046
61114.32078 16.387 0.031
61113.32198 16.371 0.038
61113.32104 16.347 0.041
61113.32104 16.347 0.041
61112.26835 16.307 0.035
61110.37355 16.204 0.032
61108.38171 16.097 0.031
61107.47137 16.079 0.028
61107.45853 16.09 0.034
61106.40689 16.01 0.028
61101.35928 15.699 0.032
61100.50782 15.649 0.034
61097.46455 15.378 0.033
61096.37396 15.304 0.032
61095.40795 15.267 0.033
61095.40417 15.192 0.033
61095.40417 15.192 0.033
61094.38845 15.17 0.03
61094.38845 15.17 0.03
61094.38703 15.127 0.025
61085.4083 15.362 0.053
61085.39251 15.271 0.04
