SN2026gm 0.015791 346.8283843 42.1988628
filter g 
61100.378924 16.38 0.033
61099.497315 16.389 0.047
61099.48838 16.338 0.032
61097.400116 16.209 0.038
61096.397002 16.137 0.039
61095.367164 16.048 0.034
61094.444595 15.965 0.025
61094.433831 16.002 0.033
61086.406157 15.026 0.036
61086.401146 15.036 0.026
61085.44213 14.929 0.033
61079.458079 14.352 0.027
61078.443623 14.271 0.028
61078.419988 14.248 0.022
61077.423113 14.149 0.026
61073.40228 14.007 0.034
61071.425151 13.923 0.024
61069.510718 13.878 0.033
61065.41228 14.035 0.021
61060.414051 14.948 0.027
61058.398947 15.719 0.042
61056.405486 16.869 0.042
61054.462789 19.498 0.123
filter r 
61100.441956 15.589 0.028
61099.429306 15.524 0.023
61098.337234 15.464 0.035
61096.463357 15.275 0.029
61080.349907 14.667 0.024
61079.500324 14.586 0.024
61078.506053 14.493 0.027
61077.523484 14.425 0.036
61077.346088 14.37 0.044
61071.337373 14.04 0.025
61065.480833 14.199 0.024
61065.440347 14.154 0.025
61058.465625 15.73 0.03
61058.464676 15.71 0.035
61056.482292 16.813 0.044
61054.395567 19.043 0.118
61054.394155 19.095 0.096
filter i 
61100.507824 15.649 0.034
61097.464549 15.378 0.033
61096.373958 15.304 0.032
61095.407951 15.267 0.033
61095.404167 15.192 0.033
61095.404167 15.192 0.033
61094.388449 15.17 0.03
61094.388449 15.17 0.03
61094.387026 15.127 0.025
61085.408299 15.362 0.053
61085.392512 15.271 0.04
