SN2026kc 0.015791 346.8283843 42.1988628
filter g 
61099.269329 18.596 0.118
61098.306146 18.505 0.078
61097.380706 18.345 0.075
61096.400313 18.302 0.075
61086.372824 17.524 0.088
61085.423958 17.382 0.043
61080.382963 16.911 0.029
61080.381539 16.889 0.045
61079.290093 16.826 0.036
61079.277813 16.813 0.037
61078.426655 16.724 0.031
61076.382685 16.52 0.047
61073.334074 16.262 0.024
61072.380428 16.236 0.029
61070.357442 16.151 0.028
61068.31294 16.085 0.023
61060.378588 16.159 0.028
61056.359757 16.613 0.031
61054.426667 17.049 0.051
61052.37713 17.726 0.065
61050.377141 18.911 0.143
filter r 
61100.219074 17.415 0.05
61099.430752 17.407 0.05
61097.270752 17.194 0.044
61096.270035 17.138 0.037
61095.284873 17.092 0.032
61094.248299 17.054 0.045
61085.359792 16.853 0.044
61080.348472 16.736 0.05
61080.347523 16.749 0.044
61079.420937 16.759 0.029
61078.380185 16.676 0.034
61076.472373 16.573 0.033
61073.253588 16.29 0.033
61072.282465 16.237 0.048
61070.426389 16.149 0.036
61068.319248 16.08 0.022
61065.375093 16.065 0.036
61060.443518 16.239 0.034
61058.332546 16.396 0.033
61056.423808 16.646 0.03
61054.359375 17.053 0.038
61050.510162 18.434 0.115
filter i 
61099.289178 17.487 0.051
61096.369699 17.287 0.042
61095.39941 17.247 0.044
61094.380162 17.236 0.049
61086.326806 17.351 0.116
61085.402639 17.306 0.055
