#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
124.359368 4.603719 14.758 17710.28 28.4 15.009 0.038
124.358469 4.556777 14.372 24972.49 39.4 14.636 0.027
124.363114 4.592815 12.052 202396.51 265.5 12.364 0.004
124.369178 4.663372 15.684 6372.32 10.4 16.119 0.100
124.371713 4.696626 10.999 562912.68 584.7 11.254 0.002
124.368725 4.589718 15.828 6778.00 10.9 16.052 0.095
124.370939 4.547761 15.601 8413.06 13.4 15.817 0.078
124.371072 4.535182 13.759 42817.26 65.3 14.051 0.016
124.375485 4.618715 12.419 139711.63 194.5 12.767 0.006
124.383184 4.578963 15.697 7567.09 12.1 15.932 0.086
124.386582 4.686003 14.880 15623.48 25.2 15.145 0.042
124.387515 4.602493 13.193 69398.74 103.5 13.526 0.010
124.414815 4.651535 15.254 9987.98 16.0 15.631 0.066
124.423130 4.693292 13.118 80723.95 119.6 13.362 0.009
124.422559 4.546311 12.054 203192.51 261.9 12.360 0.004
124.430339 4.622442 15.877 8003.36 12.8 15.872 0.082
124.436126 4.576626 15.237 9078.20 14.2 15.735 0.074
124.442545 4.644860 13.158 72074.51 106.5 13.485 0.010
124.447469 4.613571 10.872 617419.73 613.4 11.153 0.002
124.448024 4.606130 15.825 8764.26 13.8 15.773 0.076
124.466224 4.651895 13.506 59400.16 88.8 13.695 0.012
124.466959 4.576138 14.526 24637.43 37.8 14.651 0.028
124.468203 4.528651 14.004 203164.08 450.5 12.360 0.002
